Cement (kg/m^3),Flyash(kg/m^3),Water/powder,Sand(kg/m^3),Coarse Aggregate(kg/m^3),Superplasticizer,Compressive Strength (Mpa)
465,85,0.41,910,590,0.97,35.19
247,165,0.45,845,846,0.12,34.6
163,245,0.4,851,851,0.2,26.2
161,241,0.35,866,864,0.3,35.8
250,275,0.34,842,772,0.23,39.62
333,215,0.33,835,766,0.24,50.24
417,153,0.32,828,759,0.306,61.82
500,101,0.32,820,753,0.377,70.93
583,50,0.31,813,745,0.455,81.25
270,180,0.44,801,842,0.27,60.3
180,270,0.44,788,829,0.28,42.5
440,110,0.32,714,917,0.69,69.8
330,220,0.32,700,899,0.69,60.9
220,330,0.32,686,881,0.62,47.5
165,385,0.58,735,865,0.836,37.92
275,275,0.37,796,937,0.74,63.32
385,165,0.29,821,966,0.84,89.1
220,180,0.39,916,900,0.115,49
321.75,173.25,0.36,862.45,729.18,0.545,32.26
360,240,0.28,853,698,0.3,63.5
380,20,0.38,1180,578,0.398,40.4
83,468,0.41,624,794,1,14.64
165,385,0.34,656,834,1,34.9
225,525,0.33,487,620,1.36,34.83
275,275,0.34,691,880,1.25,57.9
325,325,0.34,611,777,1.18,50.07
385,165,0.31,732,931,1.25,77.08
350,150,0.36,707,901,0.795,71.62
495,55,0.29,756,962,1.5,86.41
215,215,0.38,925,905,0.15,20.4
350,150,0.35,900,600,1,37.18
300,300,0.28,787,720,0.33,52.7
480,96,0.38,819,699,0.94,53
350,162,0.406,768,840,0.18,51.7
349,162,0.389,779,852,0.29,59.9
350,133,0.38,815,883,0.338,55.3
350,111,0.39,831,900,0.32,61
250,257,0.38,787,853,0.226,51.5
427,115,0.359,779,844,0.257,59.4
348,224,0.305,783,848,0.9,58.6
350,90,0.388,852,923,0.3,46.5
327,173,0.35,902,803,0.41,61.6
380,145,0.35,788,854,0.205,73.5
350,186,0.33,786,851,0.22,70.4
380,145,0.35,988,659,0.277,65.5
380,192,0.349,931,621,0.21,67.8
275,250,0.35,775,840,0.199,54.5
399,100,0.35,814,882,0.146,55
344,147,0.35,814,881,0.116,48.75
437,80,0.34,743,924,0.43,69.7
375,125,0.35,938,673,0.7,60.8
300,200,0.35,923,663,0.7,54.69
225,275,0.35,908,652,0.7,41.42
290,290,0.38,975,650,0.45,37.97
420,80,0.33,785,860,0.299,56
477,53,0.45,768,668,0.087,32.19
350,150,0.38,830,876,0.827,21.6
300,200,0.4,845,860,0.818,26.5
250,250,0.42,856,856,0.781,31.25
220,180,0.39,916,900,0.35,49
160,240,0.39,886,900,0.35,44
248,203,0.39,808,900,0.35,50
220,180,0.39,916,900,0.35,49
237,133,0.43,960,900,0.5,46
170,200,0.43,930,900,0.2,31
220,180,0.39,916,900,0.35,47
198,232,0.36,872,900,0.5,52
220,180,0.39,916,900,0.35,45
170,200,0.43,928,900,0.5,33
290,100,0.45,913,837,0.8,42.7
250,261,0.55,478,837,0.5,17
210,100,0.65,910,837,0.8,19.1
250,160,0.55,742,837,0.5,24.1
210,220,0.45,768,837,0.8,26.7
290,100,0.65,709,837,0.2,26.6
290,220,0.45,625,837,0.2,32.9
250,160,0.55,742,837,0.5,26
250,160,0.55,742,837,0.5,28.5
250,160,0.55,742,837,0.5,26.4
250,160,0.55,739,837,0,27.3
317,160,0.55,594,837,0.5,29.1
210,220,0.65,562,837,0.2,10.2
250,160,0.55,742,837,0.5,25.3
250,160,0.38,919,837,0.5,36.3
250,160,0.55,746,837,1,26.7
250,160,0.72,566,837,0.5,11
183,160,0.55,891,837,0.5,22.1
220,180,0.39,916,900,0.35,49
220,180,0.39,916,900,0.35,49
160,240,0.39,886,900,0.35,44
193,158,0.39,1024,900,0.35,44
220,180,0.45,850,900,0.35,38
198,232,0.34,874,900,0.2,46
248,203,0.39,808,900,0.35,50
237,133,0.36,1034,900,0.2,49
220,180,0.39,916,900,0.35,49
237,133,0.43,960,900,0.5,46
275,155,0.43,827,900,0.5,48
280,120,0.39,946,900,0.35,45
170,200,0.43,930,900,0.2,31
220,180,0.39,916,900,0.6,43
220,180,0.39,916,900,0.35,47
220,180,0.39,916,900,0.1,44
198,232,0.36,872,900,0.5,52
220,180,0.39,916,900,0.35,45
220,180,0.33,982,900,0.35,51
170,200,0.43,928,900,0.5,33
275,155,0.43,830,900,0.2,36
247,165,0.45,845,846,0.12,34.6
238,159,0.4,844,844,0.29,37.8
232,155,0.35,846,847,0.38,48.2
207,207,0.45,845,843,0.4,33.2
200,200,0.4,842,843,0.17,34.9
197,197,0.35,856,856,0.28,38.9
167,254,0.45,853,853,0,30.2
163,245,0.4,851,851,0.2,26.2
161,241,0.35,866,864,0.3,35.8
350,162,0.59,768,840,0.09,51.7
349,162,0.57,779,852,0.14,59.9
350,133,0.52,815,883,0.16,55.3
350,111,0.51,831,900,0.15,61
250,257,0.45,787,853,0.11,51.5
427,115,0.5,779,844,0.12,59.4
348,224,0.48,783,848,0.43,58.6
350,90,0.53,852,923,0.14,46.5
327,173,0.48,902,803,0.2,61.6
380,145,0.48,788,854,0.1,73.5
350,186,0.51,786,851,0.11,70.4
380,145,0.48,988,659,0.13,65.5
380,192,0.53,931,621,0.1,67.8
275,250,0.67,775,840,0.09,54.5
325,60,0.65,899,850,0.43,30.8
325,60,0.65,899,850,0.43,32.6
325,120,0.75,755,850,0.43,32.2
249,60,0.68,1079,850,0.43,24
325,60,0.85,722,850,0.43,13.3
370,96,0.57,833,850,0.25,39.5
400,60,0.63,718,850,0.43,30.4
325,60,0.65,899,850,0.43,35.3
370,24,0.69,770,850,0.62,18.7
325,0,0.55,1042,850,0.43,41.2
